ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
中,Inside,gitna,,,,里面,,,,ขำ้ งใน,"Trung bình, vừa",အတငွ ်း် ၊အထ,,,Dalam,,,,,,,,,កន ុង,,,,,,,,,,,,,,8
反対,Opposite,kasalungat,,,,反面,,,,ตรงขำ้ ม,Ngược lại,ဆနက် ဲ့ ငေ် က၊် အခ ာ်းတစ်ဖက၊် မ ကန္် ာ င်း် ဆငှို ်,,,Terbalik/Berlawanan,,,,,,,,,ទទយុ,,,,,,,,,,,,,,8
周り,Circumference,paligid,,,,周围,,,,รอบ,Xung quanh,အန်း ပတဝ် န်း် က င်,,,Sekitar,,,,,,,,,ជុាំែញិ,,,,,,,,,,,,,,8
尺,Shaku (unit of length),shaku (unit ng pagsukat),,,,尺,,,,หน่วยควำมยำวของญปี่ ่นุ,Thước,ရ ု (အရ ည၊်အလျှာ်း),,,"30,3 sentimeter",,,,,,,,,ខ្នា ត សាគុ,,,,,,,,,,,,,,8
青,Blue,asul,,,,蓝,,,,น ้ำเงนิ,Xanh,အခပာသရာင်,,,Biru,,,,,,,,,ម្ខៀែ,,,,,,,,,,,,,,8
赤,Red,pula,,,,红,,,,แดง,Đỏ,အနသ ရာင်,,,Merah,,,,,,,,,ប្កហម្,,,,,,,,,,,,,,8
白,White,puti,,,,白,,,,ขำว,Trắng,အခဖြူသရာင်,,,Putih,,,,,,,,,ស,,,,,,,,,,,,,,8
黄色,Yellow,dilaw,,,,黄色,,,,เหลอื ง,Vàng,အဝါသရာင်,,,Warna kuning,,,,,,,,,ម្លឿង,,,,,,,,,,,,,,8
掃く,Sweep,magwalis,,,,扫,,,,กวาด,Quét,(တခ မကစ် ည်း် )လည ်း် က င်း် သည်,,,Menyapu,,,,,,,,,រោស,,,,,,,,,,,,,,8
持ち上げる,Lift up,buhatin,,,,举起来,,,,ยกขนึ้,Nhấc lên,မသည်,,,Mengangkat.,,,,,,,,,រលើករ ើង,,,,,,,,,,,,,,8
束ねる,Bundle,bigkisan,,,,捆在一起,,,,มัดรวม,"Buộc, bó",စည်း် သည်,,,Bundel,,,,,,,,,ចងោច់,,,,,,,,,,,,,,8
足をくじく,Sprain a leg,mapilay ang paa,,,,脚扭伤,,,,ขาแพลง,Bong gân chân,သခ ဆစ်သ ါကသ် ည်,,,Keseleo,,,,,,,,,គ្រិចរ ើង,,,,,,,,,,,,,,8
一輪車,Unicycle,wheelbarrow,,,,单轮车,,,,รถเข็นลอ้ เดยี่ ว,Xe cút kít,ေ်း တစ်ေ်း သာပါသည ်ဲ့ ပစစည်း် သယလ် ည ်း်,,,Kendaraan satu roda,,,,,,,,,រេះកង់មួយ,,,,,,,,,,,,,,8
支柱,Post,poste,,,,支柱,,,,ไมค้ ้ายัน,Thanh giằng,သထာကတ် ငှို ်,,,tiang pancang/penyanggah,,,,,,,,,សស េប់,,,,,,,,,,,,,,8
ショベル,Shovel,pala,,,,铲斗、铲子,,,,"เสยี บ, พลั่ว",Cái xẻng,သဂေါ် ခပာ်း၊ငန်း် ခပာ်း,,,"Alat keruk, ekskavator",,,,,,,,,តប ល,,,,,,,,,,,,,,8
感電（する）,Electric shock (Get an electric shock),pagkakuryente / makuryente,,,,触电,,,,"ไฟฟ้าดดู (ถกู ไฟฟ้าดดู ), ไฟฟ้าช็อต (ถกู ไฟฟ้าช็อต)",,ဓာတလ် ကှို ်(သည်),,,Tersengat listrik,,,,,,,,,(ការ)ឆក់អគ្គីសនី,,,,,,,,,,,,,,7
防止（する）,Prevention (Prevent),pagpigil / pigilan,,,,防止,,,,การป้องกนั ไมใ่ หเ้กดิ (ป้องกนั ไมใ่ หเ้กดิ ),,တာ်းဆ်း (သည်),,,Mencegah,,,,,,,,,(ការ)ការពារ,,,,,,,,,,,,,,7
予防（する）,Precaution (Take precautions),pag-iwas / iwasan,,,,预防,,,,การป้องกนั ลว่ งหนา้ (ป้องกนั ลว่ งหนา้ ),,ကကြုံှိတငက် ာကယွ ်(သည်),,,Mencegah,,,,,,,,,(ការ)បង្ហា រ,,,,,,,,,,,,,,7
転倒（する）,Falling (Fall),pagbagsak / bumagsak,,,,跌倒,,,,"ลม้ (ลม้ ), การหกลม้ (หก ลม้ )",,လက (သည်),,,Jatuh,,,,,,,,,(ការ)ដួល,,,,,,,,,,,,,,7
不安定（な）,Instability (Unstable),hindi matatag,,,,不稳定,,,,ไมม่ ั่นคง,,မတညပ်ငမှိ ်(သသာ),,,Tidak stabil,,,,,,,,,(ដដល)អមសេរភាព,,,,,,,,,,,,,,7
嘔吐（する）,Vomiting (Vomit),pagsusuka / magsusuka,,,,呕吐,,,,อาเจยี น (อาเจยี น),,အန(် သည်),,,Muntah,,,,,,,,,(ការ)កអ តួ,,,,,,,,,,,,,,7
転落（する）,Falling off ( Fall off),pagkahulog / mahulog,,,,跌倒、摔,,,,การพลัดตกลงมา (พลัด ตกลงมา),,လမှိ ်ဲ့က သည်,,,Jatuh dari atas,,,,,,,,,(ការ)រេិលធ្លា ក់,,,,,,,,,,,,,,7
落下（する）,Falling (Fall),pagkahulog / mahulog,,,,掉落,,,,"การหลน่ (หลน่ ), การตก ลงมา (การตกลงมา)",,ခပြုံတက် သည်,,,Jatuh,,,,,,,,,(ការ)ធ្លា ក់,,,,,,,,,,,,,,7
墜落（する）,Falling down (Fall down),pagbagsak / bumagsak,,,,坠落,,,,"การตกลงมาจากทสี่ งู (ตก ลงมาจากทสี่ งู ), การตกดงิ่ (ตกดงิ่ )",,အခမငမ်ဲ့ က သည်,,,Terperosok,,,,,,,,,(ការ)ធ្លា កច់ ោះ,,,,,,,,,,,,,,7
丸セパレーター （丸セパ）,Round separator (Marusepa),bilog na panghiwalay / round separator,,,,分离器、圆隔板,,,,อปุ กรณ์ยดึ แบบระบบ ฟอรม์ ไท (ฟอรม์ ไท),,ပ ုစ ကွ သ် ောငတ် ပ်ဆငရ် ာ တငွ ် သတမ် တထ် ာ်းသသာ အက ယက် ှို မ နက် နစ် ွာ ထနှိ ်း် ရန ် သ်း ု သသာ သတတ ြုံသ ာင်း်,,,Separator bulat,,,,,,,,,ឧបករណ៏បំ បបករបូ រាងមូល (ម៉ា រ ៉ុសេប៉ា ),,,,,,,,,,,,,,7
ケレン,Surface preparation,surface treatment,,,,表面处理、去掉多余的 混凝土,,,,ท าความสะอาด,,သနရ် ဲ့ င်း် သရ်း,,,Pengerjaan muka,,,,,,,,,ការេំសលៀង,,,,,,,,,,,,,,7
基礎型枠 （メタルフォーム）,Foundation formwork (Metal form)(cid:9),foundation form (metal form),,,,基础模板,,,,แบบหลอ่ คอนกรตี ฐานราก (แบบเหล็ก),,သအာက ် က နွ က် ရစ်တငွ ် သဒါငလ် ကှို စ် ှိုကထ် ာ်းသသာ သတ ငှို ပ် တလ် ည၌် ဆငသ် သာသောင်,,,Acuan fondasi,,,,,,,,,េ ៉ុមរ្រោះ(សមតាលហ្វម),,,,,,,,,,,,,,7
