番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
"かって              なか         はい
勝手に中に入るな！",,,,,,タガログ語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,タガログ語
Aralin24: Column      Mga Iba’t Ibang Ekspresyon sa Japan,,,,,,タガログ語
"しつもん     かくにん
4．質問・確認することの大切さ
さぎょう         まえ       かなら    しつもん                かくにん                                                                                さぎょう                       じこ               お               かのうせい            たか                                         きけん                    に
わからないことがあったら、作業の前に必ず質問して、確認してください。わからないまま作業すると、事故が起きる可能性が高くなって、と                                                                                                                               ても危険です。日
ほん       しょくば                あんぜん       かん            しつもん                                   は                                                                                   せっきょくてき        しつもん                あんぜん       さぎょう
本の職場では安全に関する質問をすることは恥ずかしいことではありません。積極的に質問して、安全に作業しましょう。",,,,,,タガログ語
"4. Kahalagahan ng pagtanong/pagkumpirma
Kapag may hindi ka alam, siguraduhing magtanong at kumpirmahin ito bago magsimulang magtrabaho. Kapag nagtatrabaho ka nang hindi naiintindihan ang gagawin, tumataas ang posibilidad na magkaroon ng aksidente. Mapanganib ito. Sa mga lugar ng trabaho sa Japan, hindi nakakahiyang magtanong tungkol sa kaligtasan. Maging aktibo sa pagtatanong, at magtrabaho sa ligtas na pamamaraan.",,,,,,タガログ語
Ekspresyon,,,,,,タガログ語
どうしてですか。,,,,,,タガログ語
これでいいですか。,,,,,,タガログ語
"いちど              ねが
すみません。もう一度お願いします。",,,,,,タガログ語
"つか                                             いちど       おし
これはどうやって使いますか。もう一度教えてください。",,,,,,タガログ語
"まる
すみません。「丸のこ」ってどれですか。",,,,,,タガログ語
"いみ
「ケレンがけ」ってどういう意味ですか。",,,,,,タガログ語
1,技能実習,ぎのうじっしゅう,ការហ្ឹវ កហ្ឺវ នជំនាញ,,,カンボジア語
2,技能実習生,ぎのうじっしゅうせい,កម្មសិកាការីហ្ឹវ កហ្ឺវ ន ជំនាញ,,,カンボジア語
3,工場,こうじょう,រោងចក្ក,,,カンボジア語
4,製造,せいぞう,ការផលិត,,,カンボジア語
5,機械,きかい,ម៉ា ស៊ី ន,,,カンボジア語
6,安全,あんぜん,ស វតិថភាព,,,カンボジア語
7,危険（な）,きけん（な）,(ដែល)រក្រោះថ្នា ក់,,,カンボジア語
8,危ない,あぶない,រក្រោះថ្នា ក់,,,カンボジア語
9,清掃,せいそう,សមា  ត,,,カンボジア語
10,非常口,ひじょうぐち,ផូល  វោសនា,,,カンボジア語
11,注意,ちゅうい,ការក្រងុក្រយ័តា,,,カンボジア語
12,火事,かじ,អគ្ិា ភ័យ,,,カンボジア語
13,事故,じこ,ឧរតិរហ្ត ,,,カンボジア語
14,服装,ふくそう,សរម្លៀករំពាក់,,,カンボジア語
15,安全装置,あんぜんそうち,ឧរករណ៍ស វតិថភាព,,,カンボジア語
だ い       か       き     そ,,,,,,カンボジア語
"第2課基礎30
មេម ៀនទី ២ េូលដ្ឋនា     ទី ៣០",,,,,,カンボジア語
No.,វាក្យសព្ទ, មបៀបអាន,កា បក្ប្រប,,,カンボジア語
1,安全カバー,あんぜんかばー,គម្របសុវត្ិថភាព,,,カンボジア語
2,けが,けが,របួស,,,カンボジア語
3,けがをする,けがをする,មានរបួស,,,カンボジア語
4,電源,でんげん,ចរនត អគិគ សនី,,,カンボジア語
5,電源を切る,でんげんをきる,បិទចរនត អគិគ សនី,,,カンボジア語
6,非常停止ボタン,ひじょうていしぼたん,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,,,カンボジア語
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,,,カンボジア語
8,ルール,るーる,ចាប់,,,カンボジア語
9,ルールを守る,るーるをまもる,ពោរពចាប់,,,カンボジア語
10,止める,とめる,បញ្ឈប់,,,カンボジア語
11,機械を止める,きかいをとめる,បញ្ឈប់មា៉ា សុីន,,,カンボジア語
12,やって,やって,ស៊ូរព្វើ,,,カンボジア語
13,止めて,とめて,ស៊ូរបញ្ឈប់,,,カンボジア語
14,取って,とって,ស៊ូរយក,,,カンボジア語
15,だめ（な）,だめ（な）,(ដែល)រិនបាន,,,カンボジア語
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,カンボジア語
"第3課在留資格、労働契約1
មេម ៀនទី ៣- អាជ្ញា ប័ណ្ស្នក់ាណ         មៅ កិច្សច    នាកា ងា  ១",,,,,,カンボジア語
No.,វាកយសព្ទ, មបៀបអាន,កា បកប្រប,,,カンボジア語
1,監理団体,かんりだんたい,អង្គភាពគ្រប់គ្រង្,,,カンボジア語
2,技術移転,ぎじゅついてん,ការណទេរបណចេកវិទ្យា,,,カンボジア語
3,技能実習期間,ぎのうじっしゅうきかん,រយៈណពលហ្ឹវ កហ្ឺវ នជំនញ,,,カンボジア語
4,職種,しょくしゅ,គ្បណេទ្យមុខរបរ,,,カンボジア語
5,在留資格,ざいりゅうしかく,អាជ្ញា ប័េណ ស្នា ក់ណៅ,,,カンボジア語
6,パスポート,ぱすぽーと,លិខិតឆ្លង្ដែន,,,カンボジア語
7,在留カード,ざいりゅうかーど,ប័េណ ស្នា ក់ណៅ,,,カンボジア語
8,入管,にゅうかん,អណនា  គ្បណវសន៍,,,カンボジア語
9,在留期間,ざいりゅうきかん,រយៈណពលស្នា ក់ណៅ,,,カンボジア語
10,雇用契約,こようけいやく,កិចេសនាការងារ,,,カンボジア語
11,給与明細,きゅうよめいさい,បងាា ន់នែណបើកគ្ាក់ ណបៀវតស,,,カンボジア語
12,給料,きゅうりょう,គ្ាក់ណបៀវតស,,,カンボジア語
13,残業手当,ざんぎょうてあて,គ្ាក់ឈ្ន លួ   ដែមណ ៉ោ ង្,,,カンボジア語
14,労働時間,ろうどうじかん,ណ ៉ោ ង្ណ្វើការ,,,カンボジア語
No.,វាកយសពទ, មបៀបអាន,កា បកប្រប,,,カンボジア語
1,控除（する）,こうじょ（する）,(ធ្វើការ)ការកាត់ថ្លៃ,,,カンボジア語
2,ボーナス,ぼーなす,ប្រាក់រំណាច់,,,カンボジア語
3,有休,ゆうきゅう,ការសប្រមាកមានប្រាក់ ធរៀវតស,,,カンボジア語
4,代休,だいきゅう,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,,,カンボジア語
5,労働基準法,ろうどうきじゅんほう,ចារ់រទដាា នការងារ,,,カンボジア語
6,労働条件,ろうどうじょうけん,ល័កខ ែ័ណឌ ការងារ,,,カンボジア語
7,税金,ぜいきん,ពនធ,,,カンボジア語
8,所得税,しょとくぜい,ពនធ ធលើប្រាក់ចំណូល,,,カンボジア語
9,住民税,じゅうみんぜい,ពនធ និវាសនជន,,,カンボジア語
10,厚生年金,こうせいねんきん,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក,,,カンボジア語
11,雇用保険,こようほけん,ធានារា៉ា រ់រងការងារ,,,カンボジア語
12,健康保険,けんこうほけん,ធានារា៉ា រ់រងស ែភាព,,,カンボジア語
No.,វាកយសពទ, មបៀបអាន,កា បកប្រប,,,カンボジア語
13,社会保険,しゃかいほけん,ធានារា៉ា រ់រងសងគម,,,カンボジア語
14,労災,ろうさい,ធប្រគ្មុះថ្នន ក់ការងារ,,,カンボジア語
15,労災保険,ろうさいほけん,ធានារា៉ា រ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,,,カンボジア語
No.,វាក្យសព្ទ, មបៀបអាន,កា បក្ប្រប,,,カンボジア語
1,遅刻（する）,ちこく（する）,(ធ្វើការ) មកយឺត,,,カンボジア語
2,早退（する）,そうたい（する）,(ធ្វើការ) ធេញមុនធេល,,,カンボジア語
3,休憩（する）,きゅうけい（する）,(ធ្វើការ) សម្រាក,,,カンボジア語
4,残業（する）,ざんぎょう（する）,(ធ្វើការ) ការងារថែមធា៉ោ ង,,,カンボジア語
5,定時,ていじ,ធេលធ ៀងទាត់,,,カンボジア語
6,規則,きそく,ប បញ្ជា,,,カンボジア語
7,休日,きゅうじつ,ថ្ែៃឈប់សម្រាក,,,カンボジア語
8,始業時間,しぎょうじかん,ធា៉ោ ងចាប់ធ្តើមការងារ,,,カンボジア語
9,終業時間,しゅうぎょうじかん,ធា៉ោ ងបញ្ច ប់ការងារ,,,カンボジア語
10,指導員,しどういん,អ្ន កបងាា ត់បធម្រងៀន,,,カンボジア語
11,生活指導員,せいかつしどういん,អ្ន កបងាា ត់បធម្រងៀនេីការ រស់ធៅ,,,カンボジア語
12,担当者,たんとうしゃ,អ្ន ក  ួលខុសម្រតូេ,,,カンボジア語
13,スイッチ入れるな,すいっちいれるな,កុំធបើកេរនត អ្គ្ិគ សនី,,,カンボジア語
